isin,ticker,gvkeyiid,ls_weight,country,figi,bbg_ticker,exch,mtd_local,mtd_usd,contrib_local,contrib_usd,missing_px
JP3967200001,4755,23625901W,0.0003231639549857,JPN,BBG000CGWW31,,JP,-0.07899484536082468,-0.05192068678853923,-2.552828665028788e-05,-1.677889448815812e-05,False
US5763231090,MTZ,00249701,0.0002807457554231,USA,BBG000DYXD23,,US,-0.05905413295520889,-0.05905413295520889,-1.6579197167366304e-05,-1.6579197167366304e-05,False
JP3224200000,7012,10028801W,0.0003496276362282,JPN,BBG000BM72Q8,,JP,-0.07458349476946924,-0.04737935531608717,-2.607645097788785e-05,-1.6565132005179558e-05,False
CA1130041058,BAM,04181701,0.0001338835898048,USA,BBG01BPHNXZ3,,US,-0.12271910004326703,-0.12271910004326703,-1.6430073651406978e-05,-1.6430073651406978e-05,False
IT0003856405,LDO,01626701W,0.000510893077208,ITA,BBG000BVVR77,,IM,-0.025135344160866158,-0.03201647983659972,-1.2841473325027045e-05,-1.6356997905088316e-05,False
US1717793095,CIEN,06435601,0.0001472905383925,USA,BBG000BP1152,,US,-0.11050156739811912,-0.11050156739811912,-1.627583535528409e-05,-1.627583535528409e-05,False
US37045V1008,GM,00507319,0.0007555294788043,USA,BBG000NDYB67,,US,-0.02151413345690445,-0.02151413345690445,-1.6254562037621173e-05,-1.6254562037621173e-05,False
US76954A1034,RIVN,03981101,0.000312352716884,USA,BBG00741Y1N2,,US,-0.05168119551681183,-0.05168119551681183,-1.6142761831489375e-05,-1.6142761831489375e-05,False
US8887871080,TOST,03952401,0.0001816870036523,USA,BBG00BTJVK94,,US,-0.08712232326195368,-0.08712232326195368,-1.5828993864691437e-05,-1.5828993864691437e-05,False
US04626A1034,ALAB,04509401,0.0001689706360961,USA,BBG00TDKHW99,,US,-0.09360899723887128,-0.09360899723887128,-1.581717180777015e-05,-1.581717180777015e-05,False
