isin,ticker,gvkeyiid,ls_weight,country,figi,bbg_ticker,exch,mtd_local,mtd_usd,contrib_local,contrib_usd,missing_px
CNE1000010N2,002555 CH Equity,29684401W,0.0003389493287637,CHN,,,,-0.049024918743228674,-0.047129051631572216,-1.6616963300712294e-05,-1.5974360415791162e-05,False
CNE1000000S2,601328 CH Equity,26746202W,-0.0003257153577711,CHN,,,,0.046961325966850875,0.04902042672457796,-1.529602508869808e-05,-1.5966705828687902e-05,False
CNE000001D15,600549 CH Equity,27072601W,0.0002672783114603,CHN,,,,-0.061572700296735894,-0.05972515065871131,-1.6457047367362682e-05,-1.5963237419772386e-05,False
CNE100000767,601088 CH Equity,27315302W,0.0004847293180533,CHN,,,,-0.03444034440344401,-0.0325395087185717,-1.66942446562022e-05,-1.577285387094267e-05,False
CNE100002TX3,603659 CH Equity,32579001W,0.0003439896758805,CHN,,,,-0.04761904761904767,-0.04574593905874158,-1.6380460756214306e-05,-1.573613074966562e-05,False
CNE100000CT1,002273 CH Equity,28961001W,0.0002227515873326,CHN,,,,-0.07233245975290159,-0.07051253025020254,-1.6112170225630234e-05,-1.570677804007059e-05,False
CNE100003R80,688169 CH Equity,33730101W,0.0002676099943324,CHN,,,,-0.058518983369940436,-0.056665700355778115,-1.566026480796757e-05,-1.5164307751051257e-05,False
CNE000000XS0,000893 CH Equity,27206301W,8.890451572207318e-05,CHN,,,,-0.17153589315525875,-0.16990521327014219,-1.5250315509921566e-05,-1.5105340704437551e-05,False
CNE100000SF6,002460 CH Equity,29513601W,0.0001003129257324,CHN,,,,-0.15197624791241415,-0.1503073451117789,-1.524518206992681e-05,-1.5077769547232092e-05,False
CNE000001BJ3,600580 CH Equity,27070201W,0.0001598835101348,CHN,,,,-0.0949796472184532,-0.09319806811732612,-1.5185679388651292e-05,-1.4900834268380291e-05,False
CNE1000011H2,601799 CH Equity,29652801W,0.0001569185520883,CHN,,,,-0.09439979589233327,-0.09261762454603195,-1.4813079288855987e-05,-1.4533423541621127e-05,False
CNE100000H69,300001 CH Equity,29280201W,0.0002018796169665,CHN,,,,-0.07319173363949494,-0.0713674076302665,-1.477591915225533e-05,-1.440762491629027e-05,False
CNE100002CC3,002837 CH Equity,32320601W,0.0001613218775107,CHN,,,,-0.0906025509456091,-0.08881240327793594,-1.4616173625804508e-05,-1.4327383643034072e-05,False
CNE100000CP9,601766 CH Equity,28945301W,0.000358127010922,CHN,,,,-0.041800643086816636,-0.039915308249883874,-1.4969939363299005e-05,-1.4294750033561159e-05,False
CNE000000GJ4,600839 CH Equity,24385901W,0.0003147259654135,CHN,,,,-0.04727793696275073,-0.045398099748750975,-1.4879594353360318e-05,-1.4287960771364021e-05,False
CNE000000GN6,600863 CH Equity,24374501W,-0.00033832425678,CHN,,,,0.0390455531453362,0.041102479266568626,-1.3210057748459862e-05,-1.390596574967719e-05,False
CNE000001JP3,600143 CH Equity,27068101W,0.0001898203107501,CHN,,,,-0.07473309608540935,-0.07291178467924742,-1.4185859522249484e-05,-1.3840137625159124e-05,False
CNE000000JM2,600886 CH Equity,27020201W,-0.0002180686694149,CHN,,,,0.05766423357664241,0.05974702417444444,-1.2574762688888411e-05,-1.3028954063220963e-05,False
CNE000000KN8,600711 CH Equity,27248201W,0.0001898203107501,CHN,,,,-0.06919831223628692,-0.06736221365388972,-1.313524513207443e-05,-1.2786716328595976e-05,False
CNE100002Q09,300604 CH Equity,32399601W,0.0003935877611771,CHN,,,,-0.034118195176145893,-0.03221714309657253,-1.3428504054782596e-05,-1.2680273222902245e-05,False
CNE1000041W8,688981 CH Equity,15874106W,0.00021481276479,CHN,,,,-0.06060606060606044,-0.05875722496576452,-1.3018955441818147e-05,-1.262180194628389e-05,False
CNE100001KV8,300347 CH Equity,31347901W,-0.0001611035922435,CHN,,,,0.07596135631748435,0.07807967578809638,-1.223764737443521e-05,-1.2578916250670157e-05,False
CNE000001DN1,600460 CH Equity,27069001W,0.0001556787641878,CHN,,,,-0.08255269320843084,-0.08074642895077444,-1.2851701259063103e-05,-1.257050427163456e-05,False
CNE100003LZ3,688099 CH Equity,33319901W,0.0001244845902284,CHN,,,,-0.10195917530003074,-0.10019180973136299,-1.2692346157249928e-05,-1.247233637865054e-05,False
CNE000000WD4,600157 CH Equity,27201501W,0.0005249955187828,CHN,,,,-0.02547770700636942,-0.02358127193357873,-1.3375682007205093e-05,-1.2380062092327446e-05,False
CNE1000053V5,688676 CH Equity,34668901W,0.0003456442528472,CHN,,,,-0.03737055380459242,-0.035475718912988174,-1.2916917148274433e-05,-1.2261978357897079e-05,False
CNE000001G53,600021 CH Equity,26016301W,-0.0006099980668703,CHN,,,,0.018031555221637907,0.020036448263154316,-1.0999213827864189e-05,-1.2222194707470913e-05,False
CNE100000734,601169 CH Equity,28610901W,-0.0002483757039065,CHN,,,,0.04672897196261672,0.04877987516169946,-1.1606341304042029e-05,-1.2115735829758299e-05,False
CNE000001GL8,000100 CH Equity,27053501W,0.0001919866343547,CHN,,,,-0.06483300589390961,-0.06299420484997287,-1.2447070596670135e-05,-1.209404537299681e-05,False
CNE1000032B1,001965 CH Equity,32631201W,-0.0004395189676196,CHN,,,,0.025458248472504996,0.027478993896598025,-1.1189383086038656e-05,-1.2077539028658054e-05,False
CNE000000MD5,000596 CH Equity,24373702W,-0.0006532325679015,CHN,,,,0.016355904481517802,0.018355990753867513,-1.0684209484813527e-05,-1.1990730976525066e-05,False
